		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    4    0    1    3    2    3    1  5.761345 0.673945 SUCCESS   0
000000011    5    1    1    2    3    3    5    2  7.770453 0.456208 SUCCESS   1
000000101    0    2    2    3    2    5    0    1  9.024905 0.340199 SUCCESS   2
000000111    1    2    2    4    2    0    2    2  4.788234 0.779952 SUCCESS   3
000001001    0    3    1    4    0    2    2    3  7.330237 0.501457 SUCCESS   4
000001011    2    1    3    2    1    3    2    3  2.372008 0.967432 SUCCESS   5
000001101    5    2    1    5    5    6    3    1 15.773789 0.045735 SUCCESS   6
000001111    3    3    2    2    3    1    4    3  2.623560 0.955720 SUCCESS   7
000010001    1    3    1    1    4    2    2    2  4.003788 0.856782 SUCCESS   8
000010011    1    2    3    4    4    3    3    2  3.533783 0.896552 SUCCESS   9
000010101    4    4    1    2    4    2    1    1  5.887121 0.659874 SUCCESS  10
000010111    4    5    5    1    3    1    2    3  8.743564 0.364388 SUCCESS  11
000011001    2    2    1    0    2    0    1    2  7.015796 0.534929 SUCCESS  12
000011011    4    1    4    4    3    4    3    2  5.417115 0.712205 SUCCESS  13
000011101    1    0    1    3    3    3    5    4  8.492011 0.386941 SUCCESS  14
000011111    0    1    3    2    2    3    1    4  5.698457 0.680967 SUCCESS  15
000100011    3    2    0    0    4    3    1    3  7.393125 0.494871 SUCCESS  16
000100101    4    3    2    3    1    2    3    8 15.648013 0.047704 SUCCESS  17
000100111    2    4    2    4    4    5    5    0 11.411342 0.179463 SUCCESS  18
000101001    3    1    3    2    0    4    4    1  6.671567 0.572447 SUCCESS  19
000101011    3    7    1    1    2    4    3    1 12.854458 0.116956 SUCCESS  20
000101101    2    2    1    2    2    4    0    1  5.572680 0.694975 SUCCESS  21
000101111    6    3    3    1    1    1    2    4  9.402234 0.309508 SUCCESS  22
000110011    3    3    2    1    3    1    2    2  2.372008 0.967432 SUCCESS  23
000110101    3    3    2    4    4    4    2    2  3.659559 0.886460 SUCCESS  24
000110111    0    1    3    1    2    1    1    0  8.647577 0.372892 SUCCESS  25
000111001    4    2    1    2    4    3    3    0  5.887121 0.659874 SUCCESS  26
000111011    1    3    1    2    3    2    5    4  6.012897 0.645787 SUCCESS  27
000111101    8    2    1    1    4    2    3    7 25.094465 0.001498 FAILURE  28
000111111    0    0    4    4    2    2    1    6 13.513128 0.095372 SUCCESS  29
001000011    3    2    3    1    1    5    5    3  7.833341 0.449917 SUCCESS  30
001000101    2    2    1    0    0    3    2    0  8.710465 0.367306 SUCCESS  31
001000111    4    1    2    1    6    0    0    4 14.297574 0.074331 SUCCESS  32
001001011    3    4    2    2    2    0    2    5  6.797343 0.558648 SUCCESS  33
001001101    0    1    2    3    1    2    0    2  7.078684 0.528168 SUCCESS  34
001001111    2    2    4    3    4    4    4    2  4.569781 0.802412 SUCCESS  35
